Date,Lake,Fish_Species,Length_in,Weight_lb
2025-12-17,Lake Mendota,Northern Pike,27.6,7.8
2025-12-18,Lake Mendota,Walleye,21.4,4.9
2025-12-19,Lake Mendota,Largemouth Bass,18.9,4.2
2025-12-20,Lake Mendota,Northern Pike,29.1,8.5
2025-12-21,Lake Mendota,Walleye,23.0,5.6
2025-12-22,Lake Mendota,Largemouth Bass,20.1,5.0
2025-12-23,Lake Mendota,Northern Pike,31.8,10.9
2025-12-24,Lake Mendota,Walleye,19.7,4.1
2025-12-26,Lake Mendota,Muskie,40.5,17.9
2025-12-27,Lake Mendota,Northern Pike,26.5,7.2
2025-12-28,Lake Mendota,Largemouth Bass,21.6,5.7
2025-12-29,Lake Mendota,Walleye,22.8,5.3
2025-12-30,Lake Mendota,Northern Pike,30.6,9.4
2026-01-01,Lake Mendota,Walleye,24.2,6.1
2026-01-03,Lake Mendota,Largemouth Bass,19.4,4.6
